average	stdmin	stdplus
360.1309999999998	360.13099999999963	360.131
359.7450000000003	359.745	359.7450000000006
359.24200000000013	359.242	359.24200000000025
358.56699999999967	358.5669999999993	358.567
358.3320000000002	358.332	358.33200000000045
357.982	357.982	357.982
357.2070000000002	357.207	357.20700000000045
356.78700000000015	356.787	356.7870000000003
356.67300000000023	356.673	356.67300000000046
355.8889999999997	355.88899999999944	355.889
355.384	355.384	355.384
355.03900000000016	355.039	355.0390000000003
354.18699999999995	354.1869999999999	354.187
354.0059999999998	354.00599999999963	354.006
353.5640000000002	353.564	353.56400000000036
352.8940000000002	352.894	352.89400000000035
352.35100000000017	352.351	352.35100000000034
352.0139999999997	352.01399999999944	352.014
351.4269999999998	351.42699999999957	351.427
351.04000000000036	351.04	351.0400000000007
350.66500000000036	350.665	350.6650000000007
350.06300000000005	350.063	350.0630000000001
349.8109999999998	349.81099999999964	349.811
349.2440000000002	349.244	349.24400000000037
348.5900000000001	348.59	348.5900000000002
348.5040000000003	348.504	348.5040000000006
348.0049999999997	348.0049999999994	348.005
347.39099999999974	347.39099999999945	347.391
347.2309999999998	347.23099999999965	347.231
346.67799999999994	346.6779999999999	346.678
346.14899999999983	346.14899999999966	346.149
345.90699999999975	345.9069999999995	345.907
345.38299999999987	345.38299999999975	345.383
344.7299999999997	344.72999999999934	344.73
344.5969999999998	344.59699999999964	344.597
344.20399999999984	344.20399999999967	344.204
343.81300000000005	343.813	343.8130000000001
343.32600000000036	343.326	343.3260000000007
343.0149999999998	343.01499999999965	343.015
342.71299999999985	342.7129999999997	342.713
342.27399999999983	342.27399999999966	342.274
341.58499999999964	341.5849999999993	341.585
341.51599999999974	341.51599999999945	341.516
340.99500000000023	340.995	340.99500000000046
340.42	340.42	340.42
340.24599999999975	340.2459999999995	340.246
339.87800000000016	339.878	339.8780000000003
339.33799999999985	339.3379999999997	339.338
339.161	339.161	339.161
338.7710000000002	338.771	338.77100000000036
338.12800000000016	338.128	338.1280000000003
338.0820000000002	338.082	338.08200000000045
337.68300000000033	337.683	337.6830000000007
337.35000000000025	337.35	337.3500000000005
336.8320000000002	336.832	336.83200000000045
336.53299999999984	336.5329999999997	336.533
336.11199999999974	336.11199999999945	336.112
335.8230000000002	335.823	335.82300000000043
335.3310000000001	335.331	335.33100000000013
335.15899999999976	335.15899999999954	335.159
334.6929999999998	334.69299999999964	334.693
334.375	334.375	334.375
333.9349999999999	333.9349999999998	333.935
333.61199999999974	333.61199999999945	333.612
333.25300000000016	333.253	333.2530000000003
332.94599999999997	332.9459999999999	332.946
332.5020000000003	332.502	332.5020000000006
332.3150000000001	332.315	332.3150000000002
331.8690000000002	331.869	331.86900000000037
331.48699999999974	331.48699999999945	331.487
331.34499999999986	331.3449999999997	331.345
330.6749999999998	330.67499999999956	330.675
330.38800000000026	330.388	330.38800000000055
330.2099999999997	330.2099999999994	330.21
329.58300000000014	329.583	329.58300000000025
329.14999999999975	329.1499999999995	329.15
329.1679999999998	329.16799999999955	329.168
328.5069999999997	328.50699999999944	328.507
328.20299999999963	328.2029999999993	328.203
328.1309999999998	328.13099999999963	328.131
327.61199999999974	327.61199999999945	327.612
327.4009999999999	327.4009999999998	327.401
327.12800000000016	327.128	327.1280000000003
326.71299999999985	326.7129999999997	326.713
326.2479999999997	326.2479999999994	326.248
326.036	326.036	326.036
325.6579999999999	325.6579999999998	325.658
325.21299999999985	325.2129999999997	325.213
324.893	324.893	324.893
324.71199999999965	324.7119999999993	324.712
324.58699999999965	324.5869999999993	324.587
323.991	323.991	323.991
323.527	323.527	323.527
323.42100000000016	323.421	323.42100000000033
323.1830000000003	323.183	323.18300000000056
322.6669999999999	322.66699999999986	322.667
322.5640000000002	322.564	322.56400000000036
322.12399999999985	322.1239999999997	322.124
321.87999999999977	321.87999999999954	321.88
321.7829999999999	321.7829999999998	321.783
321.57200000000006	321.572	321.5720000000001
321.3260000000003	321.326	321.3260000000006
320.92100000000016	320.921	320.92100000000033
320.65400000000034	320.654	320.6540000000007
320.3979999999998	320.39799999999957	320.398
320.35000000000025	320.35	320.3500000000005
320.12099999999975	320.1209999999995	320.121
319.80700000000013	319.807	319.80700000000024
319.6010000000001	319.601	319.6010000000002
319.46199999999965	319.4619999999993	319.462
319.1180000000003	319.118	319.11800000000056
319.134	319.134	319.134
