Average	Stdev min	Stdev plus
6.0	6.0	6.0
6.6	5.93667504192892	7.263324958071079
7.1	6.055969349108945	8.144030650891056
7.4	6.483484861008833	8.316515138991168
8.0	6.951191151829848	9.048808848170152
8.7	7.431142245955048	9.96885775404495
9.3	7.954637595292629	10.645362404707372
10.25	8.550735453203357	11.949264546796643
10.95	9.204290974990391	12.695709025009608
11.4	9.627995485333065	13.172004514666936
12.0	10.29706136340736	13.70293863659264
12.45	10.8228859904727	14.077114009527298
13.05	11.36254629693138	14.73745370306862
13.5	11.697224362268006	15.302775637731994
13.95	12.040157074521572	15.859842925478427
14.3	12.272686506728672	16.32731349327133
14.85	12.722207716904679	16.97779228309532
15.25	12.994451286272007	17.505548713727993
15.8	13.238750305026862	18.36124969497314
16.25	13.550463002661383	18.94953699733862
16.8	14.105561282938504	19.494438717061495
17.45	14.833227178374095	20.066772821625904
17.8	15.142933948882716	20.457066051117287
18.4	15.599999999999998	21.2
19.2	16.524182367948068	21.87581763205193
19.7	17.12900797356351	22.27099202643649
20.15	17.71535423521203	22.584645764787968
20.7	18.148529835565384	23.251470164434615
21.0	18.530182192954307	23.469817807045693
21.4	18.823180254654975	23.976819745345022
22.0	19.335417481105154	24.664582518894846
22.5	19.61036334464002	25.38963665535998
23.25	20.07391750736855	26.42608249263145
23.85	20.4992538144467	27.200746185553303
24.5	21.190921578445142	27.809078421554858
25.1	21.923523965146284	28.27647603485372
25.6	22.400000000000002	28.8
26.2	22.950384638145614	29.449615361854384
26.8	23.4444076528875	30.155592347112503
27.35	23.78243780712936	30.917562192870644
28.1	24.359679158146992	31.84032084185301
28.35	24.713036981216334	31.98696301878367
28.85	25.18564466788495	32.51435533211505
29.35	25.69931513274564	33.000684867254364
29.95	25.981688016297106	33.91831198370289
30.45	26.249107237741004	34.65089276225899
30.9	26.753917511674423	35.046082488325574
31.45	27.27297953081386	35.627020469186135
32.2	28.11833367360829	36.281666326391715
32.65	28.634094124608993	36.665905875391005
33.3	29.47769702927672	37.122302970723275
34.05	30.235881491091288	37.86411850890871
34.65	30.621662874088116	38.67833712591188
35.4	31.211921681725613	39.588078318274384
35.65	31.42773757329083	39.87226242670917
36.2	31.78865099997745	40.61134900002256
36.7	31.966079848582154	41.43392015141785
37.15	32.44601232994813	41.853987670051865
37.6	32.78959461167772	42.41040538832228
38.15	33.10743121018662	43.19256878981338
38.65	33.46082858251917	43.83917141748083
39.45	34.33653737668887	44.56346262331114
40.05	34.91701841031939	45.1829815896806
40.7	35.6690955087579	45.73090449124211
41.25	36.04543469634591	46.45456530365409
41.9	36.685596870206524	47.11440312979347
42.35	37.277771692835586	47.42222830716442
42.9	37.97151138785936	47.82848861214064
43.25	38.23128502502882	48.26871497497118
43.95	38.51423878375807	49.38576121624194
44.1	38.560144406214185	49.63985559378582
44.7	39.18547372841511	50.214526271584894
45.2	39.4676357408134	50.932364259186606
