372.623,359.212,423.164,413.305,391.976,327.734,256.209,212.105,377.091,278.764
372.97,359.142,423.461,412.933,392.604,327.515,255.443,212.257,376.839,279.381
372.916,359.62,423.97,412.254,392.801,327.269,254.983,212.304,377.184,279.649
373.077,359.447,424.278,411.869,393.13,327.25,254.393,212.068,377.582,280.003
373.386,359.823,425.013,411.57,393.778,326.814,253.798,212.398,377.563,280.443
373.378,359.898,425.084,411.174,394.251,326.349,253.51,212.571,377.467,280.76
373.661,359.897,425.717,410.524,394.543,326.072,252.649,212.347,377.66,281.091
373.888,360.219,426.073,409.939,394.888,325.848,251.745,212.269,377.912,281.581
374.13,360.124,426.695,409.702,395.264,325.459,251.642,212.514,377.825,282.139
374.207,360.496,427.048,409.045,395.742,325.082,250.983,212.372,378.239,282.636
374.124,360.99,427.272,408.744,396.086,324.715,250.231,212.338,378.372,282.739
374.371,360.813,427.821,408.448,396.863,324.445,249.347,212.515,378.465,283.474
374.409,361.389,428.37,407.771,397.48,323.987,249.23,212.457,378.446,283.812
374.505,361.663,428.592,407.295,397.592,323.549,248.335,212.354,378.673,284.471
375.019,361.686,429.081,406.928,397.885,323.305,247.751,212.678,379.091,285.053
375.356,361.64,429.279,406.454,398.233,322.869,247.396,212.343,378.845,285.445
375.16,361.941,429.922,406.058,399.004,322.622,246.756,212.549,379.292,286.118
375.525,362.018,430.241,405.567,399.353,322.155,246.234,212.498,379.212,286.44
375.664,362.147,430.862,405.468,399.763,321.911,245.55,212.359,379.453,287.019
375.713,362.347,431.018,404.999,400.239,321.275,245.043,212.421,379.715,287.546
375.718,362.519,431.495,404.447,400.747,320.962,244.264,212.874,380.123,287.975
376.063,362.485,431.899,403.977,401.388,320.724,243.919,212.584,380.373,288.533
376.232,362.919,432.448,403.621,401.454,320.091,243.197,212.732,380.54,289.172
376.615,362.958,432.659,403.095,402.068,319.819,242.611,212.911,380.905,289.669
376.59,362.93,433.194,402.821,402.153,319.395,242.074,212.779,380.993,290.279
376.691,363.081,433.563,402.449,402.796,318.854,241.546,212.649,381.191,290.36
377.141,363.473,433.958,401.619,403.316,318.581,240.648,212.669,381.446,291.224
377.25,363.745,434.307,401.249,403.848,317.909,240.377,212.964,381.713,291.441
377.186,363.549,434.753,400.983,404.363,317.476,239.86,212.602,381.971,292.155
377.605,363.47,434.963,400.615,404.388,316.827,239.342,212.941,382.143,292.914
377.871,363.827,435.477,400.16,404.901,316.22,238.861,212.942,382.592,293.229
377.905,363.811,435.788,399.614,405.42,315.939,238.223,213.093,382.665,293.787
378.051,363.946,436.303,399.16,406.106,315.464,237.715,212.764,382.949,294.037
378.286,364.242,436.654,398.792,406.642,314.794,237.004,213.143,383.39,294.562
378.429,363.909,436.968,398.598,406.811,314.432,236.628,212.758,383.599,294.967
378.712,364.406,437.385,397.953,407.362,313.921,235.944,213.096,383.943,295.775
